Gene	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20
GENE043	37.18	27.216	22.769	17.642	19.333	33.071	23.009	19.095	31.009	31.63	13.137	32.647	85.7	31.026	10.491	26.808	9.822	119.544	75.026	17.585
GENE044	7.982	15.813	22.41	10.166	23.7	22.336	26.117	27.518	15.138	16.011	25.098	17.895	38.619	24.977	62.334	36.975	42.6	26.214	26.541	58.303
GENE045	20.305	32.246	21.475	21.449	13.675	16.924	15.423	33.022	41.269	23.397	27.517	22.732	16.356	37.756	33.997	9.523	21.294	15.784	20.177	17.545
GENE046	23.97	20.802	20.582	42.678	32.414	17.254	18.583	31.371	31.35	18.14	21.824	61.769	18.297	63.778	42.599	58.132	17.912	22.55	19.598	43.094
GENE047	18.47	35.361	34.438	23.95	46.962	25.89	37.227	19.157	17.086	35.36	30.43	27.706	20.659	53.229	14.037	13.658	39.294	37.715	29.279	21.243
GENE048	31.539	57.998	86.295	10.717	19.896	19.281	55.327	7.095	31.719	21.576	55.649	51.962	29.452	11.136	18.413	19.449	12.639	43.698	11.861	65.54
GENE049	65.458	20.236	28.912	23.662	38.51	46.402	27.91	31.018	17.988	30.519	26.613	15.551	24.361	20.255	18.088	13.829	25.311	16.606	19.384	41.995
GENE050	33.652	15.039	29.252	26.217	57.446	48.988	11.394	37.734	46.182	32.449	20.745	81.998	33.978	65.909	48.218	30.941	18.36	24.239	21.956	13.366
GENE051	33.959	53.714	21.133	72.373	11.259	41.562	56.586	22.153	22.353	41.321	31.595	9.037	16.092	24.367	12.368	19.354	12.524	20.387	20.732	29.25
GENE052	23.432	31.544	29.719	41.086	37.974	36.02	115.866	29.186	89.728	30.148	23.537	20.357	52.189	55.715	33.112	43.24	12.954	11.309	45.749	23.025
GENE053	35.682	17.139	56.176	11.357	12.271	50.509	6.653	29.645	23.251	16.98	22.199	16.058	53.044	60.476	17.412	28.156	12.648	41.952	41.409	21.165
GENE054	24.741	23.409	10.922	53.144	16.719	16.776	22.755	40.357	18.253	9.243	15.745	30.328	73.323	13.066	12.83	11.516	10.823	44.829	51.798	26.813
GENE055	19.417	60.074	26.761	42.297	18.949	25.081	13.215	33.603	26.99	15.685	15.791	55.036	65.748	22.053	25.378	29.966	26.417	10.621	30.385	8.637
GENE056	17.008	31.586	33.115	16.362	19.507	18.23	23.303	24.206	34.269	18.945	29.568	31.611	27.089	21.546	26.852	35.726	37.322	60.806	14.954	19.688
GENE057	10.949	39.076	20.754	27.197	18.135	20.835	45.223	34.713	23.202	36.014	36.414	20.172	11.769	15.649	12.55	43.913	47.897	54.227	8.937	41.917
GENE058	74.15	42.777	8.368	59.391	25.049	21.841	30.739	14.52	24.567	55.159	33.488	25.259	25.657	13.59	22.76	10.836	40.904	8.225	37.617	40.033
GENE059	47.436	25.621	38.796	22.649	13.554	52.74	23.372	12.125	19.426	19.813	30.903	79.323	31.855	27.206	83.754	40.023	27.858	19.304	28.735	23.732
GENE060	25.68	47.333	18.725	31.714	39.428	17.618	16.26	22.756	19.476	43.648	14.867	25.387	87.621	30.16	32.774	43.831	19.463	14.286	26.796	28.014
GENE061	10.923	29.593	41.885	15.542	30.502	38.326	32.896	34.484	21.706	13.961	19.618	18.301	23.568	42.378	12.732	26.367	14.415	16.945	32.439	13.532
GENE062	35.415	12.477	34.243	11.305	18.013	63.323	57.643	19.96	29.814	44.792	34.489	21.397	16.872	37.866	43.179	57.85	10.553	13.111	43.858	11.294
GENE063	45.571	22.033	18.907	27.186	12.52	37.04	57.101	37.913	21.688	11.37	11.591	12.619	24.382	25.964	37.872	9.994	47.257	34.716	20.834	13.533
GENE064	45.813	21.114	24.288	29.72	15.54	21.304	37.813	35.947	36.109	13.769	21.796	20.122	30.344	29.015	26.515	84.172	21.213	20.007	13.758	11.371
GENE065	13.328	17.127	47.23	25.018	27.022	23.38	29.449	49.454	9.052	45.113	6.976	24.881	73.402	34.478	29.563	66.751	17.261	30.477	32.755	18.893
GENE066	19.746	18.692	25.627	32.244	26.092	34.978	9.165	21.996	14.707	28.527	28.317	23.154	31.663	40.403	23.801	14.5	11.127	24.979	27.686	15.108
GENE067	35.265	19.502	10.716	45.981	43.467	8.955	18.517	18.16	55.687	23.344	11.612	38.132	13.258	21.538	16.695	18.537	39.198	52.492	12.972	33.55
GENE068	17.007	17.273	31.353	14.674	31.041	35.341	19.761	47.634	12.982	48.072	9.281	94.619	20.023	13.72	21.838	14.538	29.769	48.61	14.928	32.776
GENE069	11.4	41.119	30.208	42.018	23.077	19.736	36.894	12.756	10.263	24.472	20.19	32.36	42.342	32.025	40.689	28.804	31.415	23.143	30.955	26.664
GENE070	28.864	22.57	36.762	17.198	24.308	47.271	15.266	8.323	29.466	21.575	40.668	22.983	18.135	23.62	42.374	32.71	7.265	26.92	27.602	24.31
GENE071	18.075	44.579	45.696	8.153	16.461	22.82	39.419	24.964	17.43	34.98	22.072	23.134	24.202	32.693	21.025	34.587	23.652	14.389	24.086	14.767
GENE072	25.04	37.142	14.342	29.434	16.208	27.136	37.717	8.459	14.052	20.399	28.718	22.574	23.976	68.135	13.38	43.282	20.594	32.289	71.127	34.617
GENE073	29.555	54.574	43.052	16.45	28.425	10.394	18.726	28.704	18.155	28.126	24.369	32.079	19.844	15.332	51.37	19.147	34.124	50.281	26.611	15.988
GENE074	22.437	40.804	27.197	13.429	33.06	36.045	20.539	33.286	27.73	22.226	12.849	42.055	35.859	32.85	53.105	39.354	34.58	8.112	44.632	25.573
GENE075	28.681	28.78	36.123	42.995	33.687	31.114	27.543	4.591	21.247	15.321	44.942	33.432	19.51	20.515	20.146	19.967	11.914	10.691	24.891	41.999
GENE076	18.749	28.552	35.415	14.929	24.289	17.58	54.765	53.583	14.937	29.753	41.838	37.493	25.554	47.147	15.607	21.083	15.818	36.279	18.333	22.519
GENE077	33.409	34.783	15.587	41.609	30.81	14.284	12.631	24.339	37.526	38.01	29.315	25.137	31.686	15.996	57.025	56.654	30.399	27.076	19.971	31.956
GENE078	17.363	8.07	6.315	16.449	26.528	28.962	19.233	26.335	21.389	14.885	23.882	36.836	15.225	15.229	14.373	9.316	19.296	35.059	26.761	22.542
GENE079	26.168	19.212	9.263	36.302	41.912	17.046	22.75	21.791	29.243	57.108	43.811	20.319	32.176	45.933	30.089	24.475	30.661	17.26	18.567	14.411
GENE080	28.604	22.973	16.256	22.599	31.031	63.902	40.692	7.83	27.651	50.132	12.567	32.323	21.795	43.604	30.028	15.768	22.189	22.855	23.067	42.933
GENE081	16.098	40.509	21.092	27.433	25.437	24.267	24.366	50.84	37.383	20.463	54.13	28.144	29.336	16.141	19.13	17.387	25.611	33.764	29.477	54.273
GENE082	15.739	25.983	12.917	15.473	46.168	19.461	16.417	8.457	16.335	22.139	12.445	21.512	46.308	17.225	15.307	13.986	13.862	32.066	25.137	39.584
GENE083	67.351	9.824	29.667	14.023	36.396	21.414	24.87	12.915	19.822	25.657	48.329	16.489	18.628	39.336	15.964	43.432	24.421	28.547	29.481	18.027
GENE084	29.813	16.673	19.086	32.438	28.409	23.63	13.074	14.812	28.173	35.377	14.086	16.12	26.235	25.956	10.892	26.597	18.189	55.73	27.788	30.288
GENE085	30.682	13.37	64.841	10.898	36.52	33.426	19.327	34.234	20.931	17.501	31.025	14.831	21.93	18.227	20.739	30.458	18.225	22.283	19.076	50.501
GENE086	29.117	27.386	34.526	18.228	37.699	29.168	11.241	12.013	18.428	12.673	21.777	14.778	23.363	49.693	23.934	21.084	29.788	17.319	37.401	31.425
GENE087	25.014	26.5	68.093	39.297	73.682	32.009	11.754	21.519	10.484	31.949	35.613	15.753	17.676	26.427	13.477	12.98	45.573	25.981	18.559	10.527
GENE088	37.569	17.422	62.199	37.7	16.378	17.155	58.028	23.52	18.979	24.875	18.936	27.675	23.62	38.006	20.201	15.762	20.604	20.542	23.6	33.692
GENE089	32.784	44.694	16.35	29.796	35.292	17.512	22.113	10.227	38.607	22.027	36.719	27.195	22.363	11.063	12.092	6.709	18.517	76.64	12.885	6.582
GENE090	39.699	79.987	28.473	28.343	21.011	10.003	11.877	20.939	19.025	23.16	37.139	18.34	37.519	18.4	41.228	25.615	19.729	25.397	21.184	25.96
GENE091	35.84	23.486	20.393	13.989	32.772	29.199	13.586	37.254	13.476	41.043	34.603	30.26	20.318	32.717	42.022	32.989	17.547	28.042	43.208	73.667
GENE092	22.14	37.673	43.261	16.343	59.802	14.403	36.763	28.579	25.224	87.656	21.102	20.933	47.739	35.906	46.574	26.009	28.745	63.464	16.152	23.303
GENE093	36.566	22.244	18.447	33.423	47.842	22.864	22.549	17.746	21.158	42.174	25.547	16.404	27.971	41.496	18.524	12.625	73.362	12.314	20.501	27.552
GENE094	21.408	23.631	32.734	7.42	13.021	25.081	20.043	26.172	27.49	8.517	46.378	19.123	15.915	27.226	25.883	44.627	28.105	43.775	15.347	26.336
GENE095	14.05	25.76	23.17	22.677	22.777	35.453	10.983	15.644	24.04	13.608	25.105	23.917	12.16	11.863	6.607	13.325	24.709	26.525	27.138	16.627
GENE096	24.309	29.923	13.013	26.093	34.064	19.194	41.726	19.42	15.958	32.408	67.806	25.602	33.699	19.023	13.186	26.659	28.853	20.513	33.634	17.689
GENE097	15.626	41.693	41.791	17.865	57.941	21.252	25.595	23.516	31.877	28.098	27.91	14.735	10.546	43.427	18.677	23.938	28.887	55.396	26.594	20.138
GENE098	18.882	24.079	15.57	24.889	23.903	55.744	23.528	9.372	93.387	39.584	69.489	13.754	21.957	34.371	32.079	28.602	8.168	10.421	52.392	57.264
GENE099	23.259	49.167	14.708	16.491	14.138	16.039	35.211	15.94	75.179	30.878	42.193	31.342	45.021	15.895	50.575	26.324	44.909	11.944	26.851	26.38
GENE100	18.0	28.69	52.974	17.321	39.683	13.961	70.437	36.318	58.123	34.33	29.824	36.469	22.915	10.925	30.683	16.815	14.142	33.722	21.337	41.011
